dimension,toy_a,toy_b,winner,timestamp
expressive_range,alphabet-blocks,anatomy-model,alphabet-blocks,2025-12-26T14:03:40.532Z
productive_challenge,activity-desk,anatomy-model,anatomy-model,2025-12-26T14:03:43.051Z
productive_challenge,activity-desk,alphabet-blocks,alphabet-blocks,2025-12-26T14:03:46.687Z
practical_sustainability,alphabet-blocks,anatomy-model,alphabet-blocks,2025-12-26T14:03:54.693Z
expressive_range,activity-desk,alphabet-blocks,alphabet-blocks,2025-12-26T14:04:01.181Z
expressive_range,activity-desk,anatomy-model,activity-desk,2025-12-26T14:04:08.803Z
developmental_longevity,activity-desk,anatomy-model,anatomy-model,2025-12-26T14:04:10.137Z
sensory_engagement,alphabet-blocks,anatomy-model,alphabet-blocks,2025-12-26T14:04:12.915Z
generativity,alphabet-blocks,anatomy-model,alphabet-blocks,2025-12-26T14:04:18.546Z
sensory_engagement,activity-desk,alphabet-blocks,alphabet-blocks,2025-12-26T14:04:18.881Z
practical_sustainability,activity-desk,alphabet-blocks,alphabet-blocks,2025-12-26T14:04:28.176Z
generativity,activity-desk,anatomy-model,activity-desk,2025-12-26T14:04:28.216Z
social_affordance,activity-desk,alphabet-blocks,alphabet-blocks,2025-12-26T14:04:28.380Z
developmental_longevity,activity-desk,alphabet-blocks,alphabet-blocks,2025-12-26T14:04:33.264Z
generativity,activity-desk,alphabet-blocks,alphabet-blocks,2025-12-26T14:04:37.321Z
developmental_longevity,alphabet-blocks,anatomy-model,alphabet-blocks,2025-12-26T14:04:43.924Z
sensory_engagement,activity-desk,anatomy-model,anatomy-model,2025-12-26T14:04:49.669Z
practical_sustainability,activity-desk,anatomy-model,activity-desk,2025-12-26T14:04:57.486Z
productive_challenge,alphabet-blocks,anatomy-model,alphabet-blocks,2025-12-26T14:05:00.624Z
social_affordance,activity-desk,anatomy-model,anatomy-model,2025-12-26T14:05:03.966Z
social_affordance,alphabet-blocks,anatomy-model,alphabet-blocks,2025-12-26T14:05:06.920Z
developmental_longevity,activity-desk,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:05:46.130Z
generativity,activity-desk,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:05:46.897Z
expressive_range,anatomy-model,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:05:53.361Z
practical_sustainability,anatomy-model,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:05:56.513Z
sensory_engagement,activity-desk,aquadoodle-mat,activity-desk,2025-12-26T14:06:08.325Z
practical_sustainability,activity-desk,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:06:10.518Z
productive_challenge,alphabet-blocks,aquadoodle-mat,alphabet-blocks,2025-12-26T14:06:16.047Z
sensory_engagement,alphabet-blocks,aquadoodle-mat,alphabet-blocks,2025-12-26T14:06:17.478Z
developmental_longevity,alphabet-blocks,aquadoodle-mat,alphabet-blocks,2025-12-26T14:06:25.264Z
social_affordance,anatomy-model,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:06:28.579Z
generativity,anatomy-model,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:06:30.990Z
productive_challenge,activity-desk,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:06:38.682Z
sensory_engagement,anatomy-model,aquadoodle-mat,anatomy-model,2025-12-26T14:06:41.480Z
productive_challenge,anatomy-model,aquadoodle-mat,anatomy-model,2025-12-26T14:06:44.039Z
social_affordance,activity-desk,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:06:50.298Z
expressive_range,activity-desk,aquadoodle-mat,activity-desk,2025-12-26T14:06:58.036Z
social_affordance,alphabet-blocks,aquadoodle-mat,alphabet-blocks,2025-12-26T14:07:11.037Z
practical_sustainability,alphabet-blocks,aquadoodle-mat,alphabet-blocks,2025-12-26T14:07:11.445Z
generativity,alphabet-blocks,aquadoodle-mat,alphabet-blocks,2025-12-26T14:07:24.370Z
developmental_longevity,anatomy-model,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:07:24.555Z
expressive_range,alphabet-blocks,aquadoodle-mat,alphabet-blocks,2025-12-26T14:07:31.878Z
social_affordance,activity-desk,art-easel,art-easel,2025-12-26T14:10:57.924Z
practical_sustainability,anatomy-model,baby-einstein-octopus,baby-einstein-octopus,2025-12-26T14:10:59.333Z
generativity,anatomy-model,art-easel,art-easel,2025-12-26T14:11:06.061Z
practical_sustainability,art-easel,baby-einstein-octopus,art-easel,2025-12-26T14:11:22.025Z
productive_challenge,aquadoodle-mat,baby-einstein-octopus,aquadoodle-mat,2025-12-26T14:11:22.578Z
practical_sustainability,aquadoodle-mat,baby-einstein-octopus,aquadoodle-mat,2025-12-26T14:11:27.747Z
expressive_range,aquadoodle-mat,art-easel,art-easel,2025-12-26T14:11:31.636Z
developmental_longevity,activity-desk,art-easel,art-easel,2025-12-26T14:11:33.383Z
social_affordance,alphabet-blocks,art-easel,alphabet-blocks,2025-12-26T14:11:42.181Z
productive_challenge,alphabet-blocks,baby-einstein-octopus,alphabet-blocks,2025-12-26T14:11:50.597Z
generativity,activity-desk,art-easel,art-easel,2025-12-26T14:11:51.703Z
practical_sustainability,alphabet-blocks,baby-einstein-octopus,alphabet-blocks,2025-12-26T14:11:56.074Z
expressive_range,art-easel,baby-einstein-octopus,art-easel,2025-12-26T14:12:03.965Z
productive_challenge,aquadoodle-mat,art-easel,art-easel,2025-12-26T14:12:08.365Z
developmental_longevity,alphabet-blocks,baby-einstein-octopus,alphabet-blocks,2025-12-26T14:12:13.248Z
productive_challenge,activity-desk,baby-einstein-octopus,activity-desk,2025-12-26T14:12:23.058Z
productive_challenge,alphabet-blocks,art-easel,art-easel,2025-12-26T14:12:33.289Z
social_affordance,activity-desk,baby-einstein-octopus,activity-desk,2025-12-26T14:12:37.583Z
sensory_engagement,anatomy-model,art-easel,art-easel,2025-12-26T14:12:42.473Z
productive_challenge,art-easel,baby-einstein-octopus,art-easel,2025-12-26T14:12:52.208Z
sensory_engagement,aquadoodle-mat,baby-einstein-octopus,baby-einstein-octopus,2025-12-26T14:12:52.387Z
practical_sustainability,aquadoodle-mat,art-easel,aquadoodle-mat,2025-12-26T14:12:55.563Z
social_affordance,alphabet-blocks,baby-einstein-octopus,alphabet-blocks,2025-12-26T14:13:00.707Z
productive_challenge,activity-desk,art-easel,art-easel,2025-12-26T14:13:04.647Z
sensory_engagement,activity-desk,baby-einstein-octopus,baby-einstein-octopus,2025-12-26T14:13:15.249Z
generativity,anatomy-model,baby-einstein-octopus,baby-einstein-octopus,2025-12-26T14:13:20.135Z
social_affordance,aquadoodle-mat,art-easel,aquadoodle-mat,2025-12-26T14:13:21.130Z
social_affordance,anatomy-model,art-easel,art-easel,2025-12-26T14:13:29.418Z
generativity,aquadoodle-mat,baby-einstein-octopus,aquadoodle-mat,2025-12-26T14:13:30.039Z
productive_challenge,anatomy-model,baby-einstein-octopus,anatomy-model,2025-12-26T14:13:42.841Z
practical_sustainability,anatomy-model,art-easel,art-easel,2025-12-26T14:13:54.563Z
generativity,alphabet-blocks,art-easel,alphabet-blocks,2025-12-26T14:14:00.129Z
sensory_engagement,aquadoodle-mat,art-easel,art-easel,2025-12-26T14:14:04.582Z
developmental_longevity,alphabet-blocks,art-easel,alphabet-blocks,2025-12-26T14:14:07.632Z
developmental_longevity,art-easel,baby-einstein-octopus,art-easel,2025-12-26T14:14:08.860Z
sensory_engagement,art-easel,baby-einstein-octopus,art-easel,2025-12-26T14:14:23.345Z
developmental_longevity,anatomy-model,baby-einstein-octopus,anatomy-model,2025-12-26T14:14:28.795Z
productive_challenge,anatomy-model,art-easel,art-easel,2025-12-26T14:14:31.929Z
developmental_longevity,aquadoodle-mat,baby-einstein-octopus,aquadoodle-mat,2025-12-26T14:14:44.588Z
expressive_range,aquadoodle-mat,baby-einstein-octopus,aquadoodle-mat,2025-12-26T14:14:49.868Z
sensory_engagement,alphabet-blocks,baby-einstein-octopus,alphabet-blocks,2025-12-26T14:14:50.726Z
sensory_engagement,anatomy-model,baby-einstein-octopus,baby-einstein-octopus,2025-12-26T14:15:01.471Z
expressive_range,alphabet-blocks,art-easel,art-easel,2025-12-26T14:15:17.086Z
expressive_range,anatomy-model,baby-einstein-octopus,baby-einstein-octopus,2025-12-26T14:15:23.604Z
sensory_engagement,activity-desk,art-easel,art-easel,2025-12-26T14:15:25.183Z
developmental_longevity,anatomy-model,art-easel,art-easel,2025-12-26T14:15:28.003Z
practical_sustainability,activity-desk,art-easel,art-easel,2025-12-26T14:15:38.800Z
generativity,art-easel,baby-einstein-octopus,art-easel,2025-12-26T14:15:39.283Z
social_affordance,art-easel,baby-einstein-octopus,art-easel,2025-12-26T14:15:55.995Z
expressive_range,anatomy-model,art-easel,art-easel,2025-12-26T14:15:58.666Z
expressive_range,activity-desk,art-easel,art-easel,2025-12-26T14:16:03.339Z
social_affordance,aquadoodle-mat,baby-einstein-octopus,aquadoodle-mat,2025-12-26T14:16:07.952Z
generativity,activity-desk,baby-einstein-octopus,activity-desk,2025-12-26T14:16:15.597Z
